"","Reductions","values"
"1",0,1
"2",1,1.0865943865303
"3",2,1.06962656954925
"4",3,1.05101920755485
"5",4,1.05355813660814
"6",5,1.05588662806131
"7",6,1.04586518851112
"8",7,1.04846775218911
"9",8,1.05901878367916
"10",9,1.06536048342532
"11",10,1.03462343604053
"12",11,1.01979205776058
"13",12,1.00698883634969
"14",13,1.01219172775404
"15",14,1.01360133201228
"16",15,1.02508677828178
"17",16,1.01453164653214
"18",17,0.996473095091584
"19",18,0.994004797504902
"20",19,0.988867482941278
"21",20,0.994407869572066
"22",21,0.98029039320209
"23",22,0.958019707437266
"24",23,0.966854102096213
"25",24,0.953268191256918
"26",25,0.971508847747387
"27",26,0.958192981550581
"28",27,0.982710697494019
"29",28,0.958742921198308
"30",29,1.0037287742195
"31",30,1.0151334004425
"32",31,1.0231699481232
"33",32,0.985230796195004
"34",33,0.960975588012618
"35",34,0.97592954019537
"36",35,0.994291891983935
"37",36,0.951102403867244
"38",37,0.981303395668719
"39",38,0.981748478969685
"40",39,0.999820238583487
"41",40,0.976831983726511
"42",41,0.944799756706445
"43",42,0.990868865419788
"44",43,0.996848930146885
"45",44,0.941287337903992
"46",45,0.935027768990196
"47",46,0.934729467264068
"48",47,0.916291659780183
"49",48,0.921152619852079
"50",49,0.928653340974279
"51",50,0.908750657717182
"52",51,0.88388239064829
"53",52,0.883896230891268
"54",53,0.874028235094018
"55",54,0.880844376524086
"56",55,0.853543599569771
"57",56,0.803112330184779
"58",57,0.818394836683468
"59",58,0.807150215709025
"60",59,0.79062159409191
"61",60,0.824503554296265
"62",61,0.809387846847114
"63",62,0.764913990450512
"64",63,0.776030532370224
"65",64,0.762118561267718
"66",65,0.718081541888272
"67",66,0.675438742955943
"68",67,0.692124834716603
"69",68,0.653450446139214
"70",69,0.608836985293005
"71",70,0.611685342041312
"72",71,0.55606280747973
"73",72,0.545599338780749
"74",73,0.520384002244835
"75",74,0.526078453236048
"76",75,0.473849920211066
"77",76,0.511444493917913
"78",77,0.48372662662571
"79",78,0.482986960626648
"80",79,0.467827300046595
"81",80,0.506364882229605
"82",81,0.486477075870125
"83",82,0.447766922063423
"84",83,0.434405560433196
"85",84,0.377619223424122
"86",85,0.420138834228725
"87",86,0.413725376841786
"88",87,0.356543780143421
"89",88,0.351990319675318
"90",89,0.347743021022171
"91",90,0.277497425551694
"92",91,0.275131486509404
"93",92,0.3595324151422
"94",93,0.242737090582858
"95",94,0.192206638764088
"96",95,0.132324161421284
"97",96,0.173086457470142
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
