"","Reductions","values"
"1",0,1
"2",1,1.05204752544745
"3",2,1.04382944583363
"4",3,1.04284723446708
"5",4,1.02784895224162
"6",5,1.07048040079178
"7",6,1.04310572608907
"8",7,1.06296524304621
"9",8,1.05673485105557
"10",9,1.02261514749596
"11",10,1.04612680785572
"12",11,1.05970971723659
"13",12,1.06182398970334
"14",13,1.05580447198158
"15",14,1.08212805258344
"16",15,1.06710293770223
"17",16,1.03262621760022
"18",17,1.05614325732438
"19",18,1.05285713418928
"20",19,1.06431323650196
"21",20,1.06281155959453
"22",21,1.07481986529101
"23",22,1.05588617744715
"24",23,1.06201978129536
"25",24,1.08340640545608
"26",25,1.08824676239623
"27",26,1.08190718080031
"28",27,1.09794292390208
"29",28,1.07669215161791
"30",29,1.08946245549591
"31",30,1.08538259932944
"32",31,1.07342388974252
"33",32,1.08338367999007
"34",33,1.08621013413275
"35",34,1.10315410271581
"36",35,1.07684450276843
"37",36,1.099072746627
"38",37,1.11592149451277
"39",38,1.11937643234109
"40",39,1.12491325305165
"41",40,1.09246545765446
"42",41,1.0611729693207
"43",42,1.08226867894036
"44",43,1.06525994395019
"45",44,1.08898966044228
"46",45,1.05140200190033
"47",46,1.1018311167615
"48",47,1.05778196731651
"49",48,1.04297368530014
"50",49,1.02908063756231
"51",50,1.00501854355708
"52",51,1.01910349077834
"53",52,1.04381286093441
"54",53,1.01816367641544
"55",54,1.01200032710687
"56",55,0.990865415964572
"57",56,0.98041266840331
"58",57,0.945561918214953
"59",58,0.938254042173652
"60",59,0.968272844994429
"61",60,0.961043223715821
"62",61,0.957972698680313
"63",62,0.981704749509601
"64",63,0.976937876619439
"65",64,0.901516788910611
"66",65,0.902378724395077
"67",66,0.903131305981581
"68",67,0.877653165699178
"69",68,0.943693980756476
"70",69,0.865993006405472
"71",70,0.915546365345426
"72",71,0.825205206384903
"73",72,0.799822543668053
"74",73,0.800195080676636
"75",74,0.74552657452925
"76",75,0.729059655045518
"77",76,0.651395605350827
"78",77,0.633443192535915
"79",78,0.596541112297141
"80",79,0.610594083979936
"81",80,0.551508266612101
"82",81,0.572823810192303
"83",82,0.476033015777078
"84",83,0.473046955730861
"85",84,0.526489912220821
"86",85,0.465220122852135
"87",86,0.423373524642959
"88",87,0.377685540113192
"89",88,0.29933324786737
"90",89,0.238613183519641
"91",90,0.159249975168563
"92",91,0.0626463518219505
"93",92,0.0535306681753902
"94",93,0.0501134971438424
"95",94,0.116017447127374
"96",95,0.104341053484282
"97",96,0.0100740853266959
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
