"","Reductions","values"
"1",0,1
"2",1,1.00055856341385
"3",2,1.00443820052747
"4",3,1.00010476387099
"5",4,1.00437882947411
"6",5,1.00298929912124
"7",6,1.00701761070923
"8",7,1.01787685300987
"9",8,1.02490236113789
"10",9,1.02135377882528
"11",10,1.02012290055788
"12",11,1.01684200015025
"13",12,1.01452105683366
"14",13,1.01931184088994
"15",14,1.02215266301592
"16",15,1.01479723938776
"17",16,1.02165697372726
"18",17,1.03315821906041
"19",18,1.02899354241423
"20",19,1.04088791516032
"21",20,1.03841219255618
"22",21,1.03749909558793
"23",22,1.03933654858602
"24",23,1.03445805379988
"25",24,1.0309985318078
"26",25,1.02964099819354
"27",26,1.0403145182322
"28",27,1.0353457528907
"29",28,1.02969310075162
"30",29,1.01892098491291
"31",30,1.0160111057234
"32",31,1.00436706224133
"33",32,0.995321598083715
"34",33,0.988781028858334
"35",34,0.983200079988936
"36",35,0.967939962414658
"37",36,0.959651782285965
"38",37,0.942663428607908
"39",38,0.93507446007735
"40",39,0.919202739727533
"41",40,0.907637721871983
"42",41,0.908808435085493
"43",42,0.881445781583846
"44",43,0.861992685146275
"45",44,0.845292208394964
"46",45,0.834577258231206
"47",46,0.81781406654744
"48",47,0.804112496077251
"49",48,0.77879510311812
"50",49,0.751635719433213
"51",50,0.737867082367555
"52",51,0.701201563958504
"53",52,0.676363262847489
"54",53,0.658701005502659
"55",54,0.640303590245192
"56",55,0.613592007646705
"57",56,0.592385918234385
"58",57,0.572537283021509
"59",58,0.539714436670132
"60",59,0.512886043384187
"61",60,0.489168590952143
"62",61,0.463736200028759
"63",62,0.450985579037285
"64",63,0.435187037814694
"65",64,0.387728478538239
"66",65,0.348684378814938
"67",66,0.334473986872797
"68",67,0.310957515529766
"69",68,0.291490580565425
"70",69,0.265101321448163
"71",70,0.227223406715413
"72",71,0.204267666761996
"73",72,0.178480346352008
"74",73,0.160654335626882
"75",74,0.147987192977555
"76",75,0.137875612674322
"77",76,0.119816695353692
"78",77,0.114586073669397
"79",78,0.100748434671292
"80",79,0.0890444458109101
"81",80,0.0863886764754275
"82",81,0.083411746784154
"83",82,0.0821447004502582
"84",83,0.0755785387468782
"85",84,0.0635929621166183
"86",85,0.0519027032204322
"87",86,0.054897939720661
"88",87,0.0570677984437798
"89",88,0.0331586463667028
"90",89,0.00983114999450943
"91",90,0.00983114999450943
"92",91,0.00983114999450943
"93",92,0.00983114999450943
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
