"","Reductions","values"
"1",0,1
"2",1,1.00654801733336
"3",2,1.01500603320098
"4",3,1.00460931365516
"5",4,0.989955804120938
"6",5,0.991144322188613
"7",6,0.974713448745975
"8",7,0.964659472359848
"9",8,0.962971626578217
"10",9,0.966128132017213
"11",10,0.964490644419633
"12",11,0.969622507847572
"13",12,0.96672329033125
"14",13,0.967385032124459
"15",14,0.96292494278642
"16",15,0.961514094737988
"17",16,0.954871456248811
"18",17,0.950719759191297
"19",18,0.945129508425635
"20",19,0.955744950905392
"21",20,0.964938449540246
"22",21,0.972793024641969
"23",22,0.973785716099009
"24",23,0.981282892324468
"25",24,0.990220545397281
"26",25,0.99302093843965
"27",26,0.979617138206712
"28",27,0.971126314520334
"29",28,0.965698707608961
"30",29,0.965579611383978
"31",30,0.966476340706809
"32",31,0.968916569961559
"33",32,0.989293072927144
"34",33,0.994263442168887
"35",34,1.00339491591102
"36",35,0.996944246650317
"37",36,0.999964207750214
"38",37,0.997537286521927
"39",38,0.992097928176274
"40",39,0.989560094535678
"41",40,1.0038179690054
"42",41,0.991378764608104
"43",42,0.995782256345878
"44",43,0.99297674047126
"45",44,0.991613797096959
"46",45,0.9939913820542
"47",46,0.98627832161181
"48",47,0.988002340538217
"49",48,0.990665076493749
"50",49,0.997349947602267
"51",50,0.987412783082519
"52",51,0.989645822879997
"53",52,0.975787248753348
"54",53,0.977787002658669
"55",54,0.96613871569436
"56",55,0.944781909139849
"57",56,0.927109549324316
"58",57,0.931510311824113
"59",58,0.926976578117332
"60",59,0.914226043201419
"61",60,0.895837514136545
"62",61,0.880955701059995
"63",62,0.889737042275676
"64",63,0.901543100455953
"65",64,0.904524878630359
"66",65,0.936616946241933
"67",66,0.906905648682714
"68",67,0.932706931987638
"69",68,0.919552782198779
"70",69,0.907590928301061
"71",70,0.892315990977129
"72",71,0.841790568029028
"73",72,0.799605794127497
"74",73,0.773150341940375
"75",74,0.761830938182902
"76",75,0.791080861904948
"77",76,0.803982295670135
"78",77,0.781165026219872
"79",78,0.76250200394736
"80",79,0.771929393928826
"81",80,0.744697840548548
"82",81,0.757855734458936
"83",82,0.738730331108395
"84",83,0.722228082625575
"85",84,0.667109487146319
"86",85,0.591255971128638
"87",86,0.536001345948187
"88",87,0.529286695779612
"89",88,0.538185189836511
"90",89,0.493003647994674
"91",90,0.495048412201727
"92",91,0.442374185128017
"93",92,0.419053859109549
"94",93,0.368863898604072
"95",94,0.200914017906371
"96",95,0.00861388404044587
"97",96,NA
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
