"","Reductions","values"
"1",0,1
"2",1,1.00354280490256
"3",2,1.00747603431557
"4",3,1.00729177332195
"5",4,1.00905117376114
"6",5,1.00112964169509
"7",6,0.993376414540754
"8",7,0.989571567615719
"9",8,0.977123574683271
"10",9,0.978293941188966
"11",10,0.975667425231701
"12",11,0.968552469913447
"13",12,0.960350121617256
"14",13,0.951886565703154
"15",14,0.946862667174988
"16",15,0.941152780608929
"17",16,0.941089348696107
"18",17,0.940730665268697
"19",18,0.932189636300236
"20",19,0.913731500990518
"21",20,0.904520407299116
"22",21,0.89690804615084
"23",22,0.890313567743166
"24",23,0.878125837798627
"25",24,0.870492901030445
"26",25,0.861056546733725
"27",26,0.863882559143739
"28",27,0.854842328377658
"29",28,0.851413333067248
"30",29,0.846864480665095
"31",30,0.852495634560532
"32",31,0.836508933836964
"33",32,0.815685845189536
"34",33,0.811247813411513
"35",34,0.801415201695852
"36",35,0.784040970136518
"37",36,0.76426275224848
"38",37,0.74704160710139
"39",38,0.744103607678893
"40",39,0.738137148077507
"41",40,0.732027092974583
"42",41,0.713941387657042
"43",42,0.691670037133125
"44",43,0.678193619659146
"45",44,0.669353166126212
"46",45,0.645906664298054
"47",46,0.646784738186803
"48",47,0.628508844494322
"49",48,0.624519493399522
"50",49,0.617017594516343
"51",50,0.609955639937174
"52",51,0.58771597662464
"53",52,0.573472889991465
"54",53,0.563607368217887
"55",54,0.550080627162059
"56",55,0.503440371094853
"57",56,0.499017391439483
"58",57,0.493748434739212
"59",58,0.477741191310513
"60",59,0.493685065739473
"61",60,0.473134962365066
"62",61,0.442280742176294
"63",62,0.410354755368606
"64",63,0.402488070411093
"65",64,0.41107309476175
"66",65,0.408892138678945
"67",66,0.400396970094977
"68",67,0.384511689917665
"69",68,0.390399504483525
"70",69,0.37218262435307
"71",70,0.36141270708558
"72",71,0.339613490521916
"73",72,0.328399679648874
"74",73,0.31767182267979
"75",74,0.304496627602074
"76",75,0.301341384395361
"77",76,0.305663804575304
"78",77,0.264523242358253
"79",78,0.256435149948721
"80",79,0.246051697578521
"81",80,0.177109424783804
"82",81,0.183133830992261
"83",82,0.136483277065547
"84",83,0.128765547783483
"85",84,0.124496162631233
"86",85,0.109776051791987
"87",86,0.115281020061472
"88",87,0.0602953244997696
"89",88,0.0598279089118263
"90",89,0.0349553238448631
"91",90,0.0398106487912085
"92",91,0.03378237761061
"93",92,0.0201015150534613
"94",93,0.0195401214094901
"95",94,0.0218133315353183
"96",95,0.0854178286337383
"97",96,NA
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
