"","Reductions","values"
"1",0,1
"2",1,1.00229377170096
"3",2,1.00385638572354
"4",3,0.980654472005927
"5",4,0.976164504324689
"6",5,0.972626829520281
"7",6,0.96786491708297
"8",7,0.966723141316386
"9",8,0.959468295428771
"10",9,0.958909566800902
"11",10,0.95329308432921
"12",11,0.948202140878287
"13",12,0.939204081115627
"14",13,0.929127429375925
"15",14,0.929081703964712
"16",15,0.912950721923332
"17",16,0.909847093513026
"18",17,0.910516618105204
"19",18,0.893476528252693
"20",19,0.873259307735894
"21",20,0.855903490616057
"22",21,0.84577828683881
"23",22,0.842857702578307
"24",23,0.844522323148961
"25",24,0.835274454781826
"26",25,0.834640824803449
"27",26,0.832596939088386
"28",27,0.820646985998549
"29",28,0.812317154437235
"30",29,0.796711527151901
"31",30,0.789872033316579
"32",31,0.78334779938309
"33",32,0.776020498818427
"34",33,0.769737784035179
"35",34,0.76765756995007
"36",35,0.756145384609547
"37",36,0.752222250078621
"38",37,0.740620909356715
"39",38,0.729298471325833
"40",39,0.711590664104472
"41",40,0.694490753260092
"42",41,0.687392747549312
"43",42,0.673191624277491
"44",43,0.647800884260061
"45",44,0.644400736680447
"46",45,0.633913451662692
"47",46,0.625958728906232
"48",47,0.616329246965987
"49",48,0.596387518477981
"50",49,0.57569568709933
"51",50,0.562773509384606
"52",51,0.545908497527971
"53",52,0.524957830512533
"54",53,0.515131373723201
"55",54,0.486033304269143
"56",55,0.481044984071882
"57",56,0.473852657440695
"58",57,0.476185211849043
"59",58,0.464588792428303
"60",59,0.456339699395892
"61",60,0.445610684109656
"62",61,0.432859673183213
"63",62,0.403456132490683
"64",63,0.366312705426031
"65",64,0.350375288362194
"66",65,0.345757417423071
"67",66,0.343443801124295
"68",67,0.326784288883833
"69",68,0.330710707996715
"70",69,0.316231440011899
"71",70,0.295222972816038
"72",71,0.295818202315087
"73",72,0.298676513445654
"74",73,0.300626915408451
"75",74,0.297995485462258
"76",75,0.277868607191364
"77",76,0.263004771591002
"78",77,0.249957033068966
"79",78,0.251406955696255
"80",79,0.244503785459124
"81",80,0.208457126899101
"82",81,0.187082419121399
"83",82,0.171417556242536
"84",83,0.171016676227995
"85",84,0.110629499990241
"86",85,0.115106350598007
"87",86,0.112370963665862
"88",87,0.103515881331812
"89",88,0.106550063220547
"90",89,0.114618824136009
"91",90,0.119824809159876
"92",91,0.084800992810306
"93",92,0.090004438707147
"94",93,0.075130309113477
"95",94,0.0545800177152322
"96",95,0.0152184077602715
"97",96,0
"98",97,0
"99",98,NA
"100",99,NA
"101",100,NA
