"","Reductions","values"
"1",0,1
"2",1,1.00470978059552
"3",2,1.00306273181119
"4",3,1.00172687217753
"5",4,0.994185321635482
"6",5,0.993318691939313
"7",6,0.984794831651432
"8",7,0.983284456979995
"9",8,0.975474959791441
"10",9,0.975206694320115
"11",10,0.973914126474796
"12",11,0.979451584478407
"13",12,0.98212467990992
"14",13,0.980784123564132
"15",14,0.979342097323982
"16",15,0.967494693777355
"17",16,0.972827073903311
"18",17,0.969857515769338
"19",18,0.972043023590242
"20",19,0.968822094246712
"21",20,0.969949160823984
"22",21,0.953286759506106
"23",22,0.952431110787551
"24",23,0.950358930742289
"25",24,0.94395200948733
"26",25,0.942400633061788
"27",26,0.92875937677703
"28",27,0.917706863879196
"29",28,0.907923456198816
"30",29,0.91316201170413
"31",30,0.901389759049832
"32",31,0.893926362334447
"33",32,0.888394716298755
"34",33,0.883651681951853
"35",34,0.854272135524663
"36",35,0.856807577994067
"37",36,0.859841211315537
"38",37,0.85828764375936
"39",38,0.823694827577019
"40",39,0.824788224346621
"41",40,0.823422655511537
"42",41,0.803849382887406
"43",42,0.802003166520127
"44",43,0.787987966882274
"45",44,0.772362352302867
"46",45,0.775839662426765
"47",46,0.761627666342518
"48",47,0.781099357580544
"49",48,0.765730212629996
"50",49,0.763548603312194
"51",50,0.765154246915243
"52",51,0.76726220739696
"53",52,0.76168070232743
"54",53,0.758712698560062
"55",54,0.723150316646272
"56",55,0.71558795326754
"57",56,0.673997083643702
"58",57,0.654534451033553
"59",58,0.613293740109633
"60",59,0.608141978349034
"61",60,0.60103068587471
"62",61,0.598581338382288
"63",62,0.593581682585379
"64",63,0.532371367876631
"65",64,0.505739651550404
"66",65,0.504400993525693
"67",66,0.48199899925885
"68",67,0.4732787592803
"69",68,0.465919647150241
"70",69,0.468412329121638
"71",70,0.449531784377365
"72",71,0.456110454118837
"73",72,0.456234064265331
"74",73,0.426146269503825
"75",74,0.422887691340653
"76",75,0.428169783403399
"77",76,0.401543480893404
"78",77,0.375775254761821
"79",78,0.358635964471453
"80",79,0.293592609685724
"81",80,0.294105796291755
"82",81,0.219424556110794
"83",82,0.219948121047506
"84",83,0.192541815985144
"85",84,0.187175742546927
"86",85,0.205270125422928
"87",86,0.15969128979511
"88",87,0.147921108447003
"89",88,0.156615229748334
"90",89,0.182360408682236
"91",90,0.13304638282941
"92",91,0.121903333561974
"93",92,0.104959433685322
"94",93,0.0463797796918767
"95",94,0.0607031466973382
"96",95,NA
"97",96,NA
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
