"","Reductions","values"
"1",0,1
"2",1,1.00323724835951
"3",2,1.00118787542669
"4",3,0.99194694464968
"5",4,0.985540729757876
"6",5,0.996470539557965
"7",6,0.997530139537908
"8",7,1.00718080830767
"9",8,1.00221280396859
"10",9,0.989803397258456
"11",10,0.987744258290236
"12",11,0.983755402465592
"13",12,0.977855760767995
"14",13,0.974516662939119
"15",14,0.966416610765596
"16",15,0.960694940189598
"17",16,0.95945863003605
"18",17,0.954686168929132
"19",18,0.937088024692307
"20",19,0.925324761867187
"21",20,0.91664106237545
"22",21,0.913036412497398
"23",22,0.909422008460497
"24",23,0.900517383864202
"25",24,0.888270698101301
"26",25,0.87743104416173
"27",26,0.875623134210193
"28",27,0.856844488636226
"29",28,0.839566074049484
"30",29,0.831219617336899
"31",30,0.823206857386521
"32",31,0.805747627540874
"33",32,0.804989746346668
"34",33,0.797150119128419
"35",34,0.803605668504459
"36",35,0.811548422722265
"37",36,0.804288333612814
"38",37,0.810649031613136
"39",38,0.812851496437446
"40",39,0.81706600820477
"41",40,0.825979869560589
"42",41,0.821769138807156
"43",42,0.827115996830944
"44",43,0.814388118276988
"45",44,0.789696687703308
"46",45,0.787620802841373
"47",46,0.769450493570024
"48",47,0.762055535601514
"49",48,0.755751019040994
"50",49,0.736951193885394
"51",50,0.734685526090775
"52",51,0.71471983243994
"53",52,0.698597910463968
"54",53,0.702297629247832
"55",54,0.678826969472247
"56",55,0.655747829509942
"57",56,0.631450823894641
"58",57,0.622946070556902
"59",58,0.614808560858982
"60",59,0.596809289623343
"61",60,0.578789009638819
"62",61,0.58631529902764
"63",62,0.597182850624703
"64",63,0.585000288614902
"65",64,0.578736231053501
"66",65,0.595934466289548
"67",66,0.60976427374576
"68",67,0.597185314688156
"69",68,0.556246597326736
"70",69,0.52606066579559
"71",70,0.490507317518162
"72",71,0.483039660170988
"73",72,0.431934237159568
"74",73,0.448600580770644
"75",74,0.447727565614638
"76",75,0.392518319189178
"77",76,0.386038259471419
"78",77,0.392507676766704
"79",78,0.303512517375711
"80",79,0.283150578459636
"81",80,0.269419499411841
"82",81,0.271589410414403
"83",82,0.242435988600765
"84",83,0.21905084862409
"85",84,0.170511306863819
"86",85,0.171037728948579
"87",86,0.147565358508171
"88",87,NA
"89",88,NA
"90",89,NA
"91",90,NA
"92",91,NA
"93",92,NA
"94",93,NA
"95",94,NA
"96",95,NA
"97",96,NA
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
