"","x"
"1",1.09882402599455
"2",1.20367738139057
"3",1.09964536585926
"4",1.1866905268168
"5",1.30691370855744
"6",1.16940722154928
"7",1.27517512183972
"8",1.11868513752927
"9",1.18404752120884
"10",1.06871673115692
"11",1.40614701728094
"12",1.11701694969689
"13",1.17728210492084
"14",1.01552045016272
"15",1.14774936132523
