"","Reductions","values"
"1",0,1
"2",1,1.00807145584818
"3",2,1.01855588854408
"4",3,1.03249305022681
"5",4,1.03343954742957
"6",5,1.03895939045013
"7",6,1.03130519566503
"8",7,1.02289833530548
"9",8,1.02891388252939
"10",9,1.02699734328962
"11",10,1.0280480778385
"12",11,1.03003586551467
"13",12,1.02659427494944
"14",13,1.04478578444724
"15",14,1.04787752360296
"16",15,1.05304752165479
"17",16,1.06259247934688
"18",17,1.06957200627946
"19",18,1.05840877971727
"20",19,1.05702323704815
"21",20,1.06449542162397
"22",21,1.07074097331913
"23",22,1.06404086336464
"24",23,1.08382998979706
"25",24,1.08010275354103
"26",25,1.08485604875411
"27",26,1.08670222410744
"28",27,1.08336573290641
"29",28,1.09638082611013
"30",29,1.11037945821119
"31",30,1.09814779004891
"32",31,1.11612588936664
"33",32,1.12629242136929
"34",33,1.11678621298966
"35",34,1.12319898541216
"36",35,1.13516581622501
"37",36,1.12599014789558
"38",37,1.12769226964642
"39",38,1.12661321887082
"40",39,1.13283081112313
"41",40,1.12800880196298
"42",41,1.1393141757491
"43",42,1.13707692624858
"44",43,1.14040012190265
"45",44,1.14923844624221
"46",45,1.09514315525365
"47",46,1.08893746410938
"48",47,1.08903318291549
"49",48,1.09623846196488
"50",49,1.07050456704582
"51",50,1.06368322846595
"52",51,1.05466636991514
"53",52,1.05124619432549
"54",53,1.04444922522942
"55",54,1.03172422089747
"56",55,1.02903559892373
"57",56,0.999250419510488
"58",57,0.975373665797048
"59",58,0.939668171943846
"60",59,0.919694034694277
"61",60,0.898191400076485
"62",61,0.901364573715869
"63",62,0.917309937843149
"64",63,0.881881249027126
"65",64,0.878318070270582
"66",65,0.832011494217993
"67",66,0.847122606484545
"68",67,0.846582275692948
"69",68,0.823584538500097
"70",69,0.807244226824453
"71",70,0.795963415216056
"72",71,0.751392561650976
"73",72,0.716279132143337
"74",73,0.721574316358281
"75",74,0.714856743002442
"76",75,0.726001234373093
"77",76,0.726706020990373
"78",77,0.718122551547367
"79",78,0.64328580086097
"80",79,0.630329547236392
"81",80,0.624120485128769
"82",81,0.553757414103664
"83",82,0.538351874961365
"84",83,0.481890820952268
"85",84,0.450934669246839
"86",85,0.40927445165592
"87",86,0.349778640659694
"88",87,0.354053312816719
"89",88,0.304361043339848
"90",89,0.319380898152819
"91",90,0.298650405882396
"92",91,0.302447631903171
"93",92,0.260722590675941
"94",93,0.258043505655439
"95",94,0.143043684700801
"96",95,0.0491522036217779
"97",96,0.0491522036217779
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
