"","x"
"1",0.463728065848847
"2",0.443493728010142
"3",0.613732121745434
"4",0.610460218513092
"5",0.472345028206912
"6",0.424420677796506
"7",0.50341661441088
"8",0.50410643052725
"9",0.612764521679262
"10",0.512574936839226
"11",0.574804532470944
"12",0.578067560953705
"13",0.6825570372783
"14",0.46156086249067
"15",0.477528014925839
